guid	entry_status	major	in_school_earning	fin_aid_0	fin_aid_3000	fin_aid_10000
384	FTF	Accounting	0	16.65962305	19.54341788	29.25716868
384	FTF	Accounting	4500	21.19879868	25.10956005	40.85082826
384	FTF	Accounting	10500	30.22420012	37.53984347	81.7440972
517	FTF	Advertising	0	9.864830665	12.11833592	20.03008071
517	FTF	Advertising	4500	13.42861502	16.58450959	30.15917487
517	FTF	Advertising	10500	20.84774913	27.19614681	72.44765722
414	FTF	Aerospace Engineering	0	19.966026899999996	23.22893961	34.59283628
414	FTF	Aerospace Engineering	4500	25.11981945	29.65300123	49.61621467
414	FTF	Aerospace Engineering	10500	35.76906699	45.07882267	107.1580344
501	FTF	African-American Studies	0			
501	FTF	African-American Studies	4500			
501	FTF	African-American Studies	10500			
363	FTF	Agricultural Biology and Plant & Irrigation Science	0	13.73541583	16.77205341	28.37606481
363	FTF	Agricultural Biology and Plant & Irrigation Science	4500	18.58117815	23.09392402	50.48204502
363	FTF	Agricultural Biology and Plant & Irrigation Science	10500	29.7079995	42.03394344	76.79492217
361	FTF	Agricultural Business	0	12.10192496	14.59851515	23.52283788
361	FTF	Agricultural Business	4500	16.05642868	19.59355938	36.01930936
361	FTF	Agricultural Business	10500	24.470588600000003	32.14960843	92.61225086
359	FTF	Agriculture/Agricultural Science & Horticulture	0	8.957902155	11.09433739	18.61194412
359	FTF	Agriculture/Agricultural Science & Horticulture	4500	12.33749097	15.33648375	28.0181607
359	FTF	Agriculture/Agricultural Science & Horticulture	10500	19.38741348	25.32852066	59.78483552
371	FTF	American Studies	0	8.130901896000001	10.11730759	17.41250401
371	FTF	American Studies	4500	11.27936687	14.13394549	29.39301689
371	FTF	American Studies	10500	18.22692079	25.32227316	67.78413278
360	FTF	Animal Science/Animal Health Science	0	6.782876508999999	8.573567302999999	14.91218382
360	FTF	Animal Science/Animal Health Science	4500	9.608641399	12.11212271	24.02907457
360	FTF	Animal Science/Animal Health Science	10500	15.59321899	21.18866153	66.32593458
495	FTF	Anthropology	0	5.629308032000001	7.204955225	12.55264976
495	FTF	Anthropology	4500	8.100780468	10.22711397	20.07720004
495	FTF	Anthropology	10500	13.11261435	17.70203747	65.31903137
464	FTF	Apparel Merchandising and Management	0	9.156067533	11.55550045	21.1684001
464	FTF	Apparel Merchandising and Management	4500	13.00508365	16.70621244	38.43638627
464	FTF	Apparel Merchandising and Management	10500	22.30428526	32.47300639	116.5696624
478	FTF	Applied Mathematics	0	8.524181915	10.45762535	16.85193774
478	FTF	Applied Mathematics	4500	11.55882485	14.14263546	24.06195997
478	FTF	Applied Mathematics	10500	17.4771855	22.08023749	45.86668457
480	FTF	Applied Physics	0	8.950509831	11.04586095	18.50090359
480	FTF	Applied Physics	4500	12.26517814	15.21980015	28.79372602
480	FTF	Applied Physics	10500	19.29156014	25.65060387	72.20366028
364	FTF	Architecture	0	11.9499731	14.41826038	22.8396096
364	FTF	Architecture	4500	15.84324255	19.23019197	32.8366686
364	FTF	Architecture	10500	23.68136758	30.01214579	59.984947
434	FTF	Art	0	6.994742351	8.819296413	15.35253088
434	FTF	Art	4500	9.877233312000001	12.4484039	25.2579996
434	FTF	Art	10500	16.06497169	22.0624216	71.74652912
437	FTF	Art History	0			
437	FTF	Art History	4500			
437	FTF	Art History	10500			
507	FTF	Asian/Asian-American Studies	0	6.412277116	7.899652714	12.43407737
507	FTF	Asian/Asian-American Studies	4500	8.720360901	10.57746039	17.02471443
507	FTF	Asian/Asian-American Studies	10500	12.85098077	15.80676184	30.54318074
368	FTF	Asian/East Asian Studies	0	9.242526056	11.42465681	19.3188293
368	FTF	Asian/East Asian Studies	4500	12.7021252	15.82038734	30.52262388
368	FTF	Asian/East Asian Studies	10500	20.16716904	27.06326775	80.42777412
408	FTF	Athletic Training	0	9.000309821	11.19873928	19.69053112
408	FTF	Athletic Training	4500	12.50495574	15.78313557	36.63290827
408	FTF	Athletic Training	10500	20.68951421	30.12866872	145.0054009
412	FTF	Aviation	0			
412	FTF	Aviation	4500			
412	FTF	Aviation	10500			
485	FTF	Behavioral Science	0	6.657777608	8.205167583	12.90825121
485	FTF	Behavioral Science	4500	9.059203311000001	10.98889909	17.56468581
485	FTF	Behavioral Science	10500	13.33711152	16.34540288	30.00137358
377	FTF	Biochemistry	0	8.765889957999999	11.00764488	19.67305098
377	FTF	Biochemistry	4500	12.34366137	15.70034223	34.97051376
377	FTF	Biochemistry	10500	20.67673994	29.65058128	158.803914
372	FTF	Biology	0	10.11084259	12.34182776	20.45012872
372	FTF	Biology	4500	13.64772384	16.84012148	32.75633487
372	FTF	Biology	10500	21.33409644	28.76197841	98.47776773
415	FTF	Biomedical Engineering	0	9.998979657000001	12.50824536	22.68850762
415	FTF	Biomedical Engineering	4500	14.02711689	17.92183739	43.89102702
415	FTF	Biomedical Engineering	10500	23.92345531	35.75296197	86.12490368
378	FTF	Biomedical Physics	0			
378	FTF	Biomedical Physics	4500			
378	FTF	Biomedical Physics	10500			
381	FTF	Biotechnology	0			
381	FTF	Biotechnology	4500			
381	FTF	Biotechnology	10500			
374	FTF	Botany	0	9.244694613	11.43283945	19.37439569
374	FTF	Botany	4500	12.71507241	15.84944115	30.73098727
374	FTF	Botany	10500	20.23060184	27.21275427	82.28572458
382	FTF	Business Administration	0	9.617828914	11.73169032	18.88017293
382	FTF	Business Administration	4500	12.94546714	15.82091074	27.33255476
382	FTF	Business Administration	10500	19.59343795	24.95157148	56.9100208
395	FTF	Business Economics	0	9.547179367	11.78640993	19.82947721
395	FTF	Business Economics	4500	13.09656804	16.28466643	30.74489929
395	FTF	Business Economics	10500	20.68184896	27.46549123	84.73261991
396	FTF	Business Law	0	5.1622095439999995	6.463421713	10.20391414
396	FTF	Business Law	4500	7.166468569	8.715738207000001	13.60592567
396	FTF	Business Law	10500	10.52941952	12.74290767	21.25770876
379	FTF	Cell and Molecular Biology	0			
379	FTF	Cell and Molecular Biology	4500			
379	FTF	Cell and Molecular Biology	10500			
416	FTF	Chemical Engineering	0	20.781515399999996	24.10075541	35.99517385
416	FTF	Chemical Engineering	4500	26.03973238	30.74628633	53.30794797
416	FTF	Chemical Engineering	10500	37.26805145	47.78211019	112.6688352
481	FTF	Chemistry	0			
481	FTF	Chemistry	4500			
481	FTF	Chemistry	10500			
405	FTF	Child Development	0	7.255012262999999	9.10130445	15.56073146
405	FTF	Child Development	4500	10.16684601	12.73087599	24.32016025
405	FTF	Child Development	10500	16.24083984	21.67620482	65.10325447
450	FTF	Chinese	0	9.244694613	11.43283945	19.37439569
450	FTF	Chinese	4500	12.71507241	15.84944115	30.73098727
450	FTF	Chinese	10500	20.23060184	27.21275427	82.28572458
445	FTF	Cinema/Film	0			
445	FTF	Cinema/Film	4500			
445	FTF	Cinema/Film	10500			
367	FTF	City and Regional Planning	0	9.42792437	11.38453963	18.08909341
367	FTF	City and Regional Planning	4500	12.50741153	15.18274857	26.9615666
367	FTF	City and Regional Planning	10500	18.78127237	24.27382671	57.73254844
417	FTF	Civil Engineering	0	16.40806259	19.326229	29.44396112
417	FTF	Civil Engineering	4500	21.01704298	25.06302174	42.34019574
417	FTF	Civil Engineering	10500	30.48034308	38.53946598	94.71326983
468	FTF	Classics	0	7.713791219	9.497718911	15.49104074
468	FTF	Classics	4500	10.5139631	12.91504815	23.0763717
468	FTF	Classics	10500	16.09913908	20.83332092	52.54504899
397	FTF	Communications	0	9.165453581	11.35532419	19.30172279
397	FTF	Communications	4500	12.63864624	15.77547578	30.64139782
397	FTF	Communications	10500	20.15785658	27.13215953	86.51476157
458	FTF	Communicative Disorders	0	8.207169957	10.24415181	17.70726503
458	FTF	Communicative Disorders	4500	11.4373558	14.36637608	29.19133717
458	FTF	Communicative Disorders	10500	18.52985715	25.47426803	83.81404553
467	FTF	Comparative Literature	0	6.078252404	7.562566443	12.33336456
467	FTF	Comparative Literature	4500	8.392633959	10.31563039	18.21911911
467	FTF	Comparative Literature	10500	12.80506939	16.46341697	43.76213541
420	FTF	Computer Engineering	0	18.46976223	21.98363584	34.74819679
420	FTF	Computer Engineering	4500	24.04551507	29.07883008	54.23141522
420	FTF	Computer Engineering	10500	36.13412699	47.82661005	139.7490284
431	FTF	Computer Engineering Technology	0			
431	FTF	Computer Engineering Technology	4500			
431	FTF	Computer Engineering Technology	10500			
402	FTF	Computer Science and Information Technology	0	17.18241635	20.18488591	30.65227386
402	FTF	Computer Science and Information Technology	4500	21.92625239	26.10297238	44.39996177
402	FTF	Computer Science and Information Technology	10500	31.73441704	40.269473	100.5945824
427	FTF	Construction Engineering Technology	0	19.23449521	22.09389866	31.43534
427	FTF	Construction Engineering Technology	4500	23.71829518	27.50449083	41.8543942
427	FTF	Construction Engineering Technology	10500	32.33822469	38.97701735	80.37213225
471	FTF	Creative Writing	0	7.5604675079999994	9.380664986000001	15.81652235
471	FTF	Creative Writing	4500	10.43121262	12.96898963	25.84322024
471	FTF	Creative Writing	10500	16.51432117	22.4787604	59.65239279
492	FTF	Criminal Justice	0	8.894213035	10.85477846	17.40686332
